Location,Value,Technical Description,X-Column,Y-Column,Rotation
R22,RES-0603,"47 kOhm, 1 %, 0.1 W, Thick Film, 100 ppm/K, SMD, 0603/1608M",2,Bottom,90
R23,RES-0603,"6.8 kOhm, 1 %, 0.1 W, Thick Film, 100 ppm/K, SMD, 0603/1608M",2,Bottom,180
R24,RES-0603,"10 kOhm, 1 %, 0.1 W, Thick Film, 100 ppm/K, SMD, 0603/1608M",2,Bottom,90
R25,1206,"150 Ohm, 1 %, 0.25 W, Thick Film, 100 ppm/K, SMD, 1206/3216M",2,Bottom,90
R26,0805,"4.7 Ohm, 1 %, 0.125 W, Thick Film, 200 ppm/K, SMD, 0805/2012M",2,Bottom,270
R27,0805,"4.7 Ohm, 1 %, 0.125 W, Thick Film, 200 ppm/K, SMD, 0805/2012M",2,Bottom,270
R28,0805,"4.7 Ohm, 1 %, 0.125 W, Thick Film, 200 ppm/K, SMD, 0805/2012M",2,Bottom,0
R29,RES-0603,"30 kOhm, 1 %, 0.1 W, Thick Film, 100 ppm/K, SMD, 0603/1608M",2,Bottom,0
R3,R2W-STYLE2-UP,"300 Ohm, 5 %, 3 W, Wirewound, 300 ppm/K, THD, D = 5.0; L = 15.5; d = 0.8, x = 2",2,Bottom,180
R30,RES-0603,"2.2 MOhm, 1 %, 0.1 W, Thick Film, 100 ppm/K, SMD, 0603/1608M",2,Bottom,90
R31,RES-0603,"62 kOhm, 1 %, 0.1 W, Thick Film, 100 ppm/K, SMD, 0603/1608M",2,Bottom,270
R32,RES-0603,"30 kOhm, 1 %, 0.1 W, Thick Film, 100 ppm/K, SMD, 0603/1608M",2,Bottom,90
R33,RES-0603,"4.7 kOhm, 1 %, 0.1 W, Thick Film, 100 ppm/K, SMD, 0603/1608M",2,Bottom,90
R34,RES-0603,"47 kOhm, 1 %, 0.1 W, Thick Film, 100 ppm/K, SMD, 0603/1608M",2,Bottom,270
R35,RES-0603,"15 kOhm, 1 %, 0.1 W, Thick Film, 100 ppm/K, SMD, 0603/1608M",2,Bottom,270
R36,RES-0603,"1.1 kOhm, 1 %, 0.1 W, Thick Film, 100 ppm/K, SMD, 0603/1608M",2,Bottom,0
R37,0805,"4.7 Ohm, 1 %, 0.125 W, Thick Film, 200 ppm/K, SMD, 0805/2012M",2,Bottom,180
R38,RES-0603,"240 Ohm, 1 %, 0.1 W, Thick Film, 100 ppm/K, SMD, 0603/1608M",2,Bottom,0
R39,RES-0603,"240 Ohm, 1 %, 0.1 W, Thick Film, 100 ppm/K, SMD, 0603/1608M",2,Bottom,0
R4,RES-0603,"1 kOhm, 1 %, 0.1 W, Thick Film, 100 ppm/K, SMD, 0603/1608M",2,Bottom,180
R40,RES-0603,"4.7 kOhm, 1 %, 0.1 W, Thick Film, 100 ppm/K, SMD, 0603/1608M",2,Bottom,270
R41,RES-0603,"4.7 kOhm, 1 %, 0.1 W, Thick Film, 100 ppm/K, SMD, 0603/1608M",2,Bottom,90
R42,RES-0603,"1.1 kOhm, 1 %, 0.1 W, Thick Film, 100 ppm/K, SMD, 0603/1608M",2,Bottom,90
R43,RES-0603,"130 kOhm, 1 %, 0.1 W, Thick Film, 100 ppm/K, SMD, 0603/1608M",2,Bottom,0
R44,RES-0603,"30 kOhm, 1 %, 0.1 W, Thick Film, 100 ppm/K, SMD, 0603/1608M",2,Bottom,270
R45,RES-0603,"1 kOhm, 1 %, 0.1 W, Thick Film, 100 ppm/K, SMD, 0603/1608M",2,Bottom,270
R46,RES-0603,"240 Ohm, 1 %, 0.1 W, Thick Film, 100 ppm/K, SMD, 0603/1608M",2,Bottom,90
R47,PTC-A570,"PTC, 56 Ohm, 20 %, THD, W9.0H12.5d0.6",2,Bottom,180
R49,RES-0603,"430 Ohm, 1 %, 0.1 W, Thick Film, 100 ppm/K, SMD, 0603/1608M",2,Bottom,0
R5,RES-0603,"3 kOhm, 1 %, 0.1 W, Thick Film, 100 ppm/K, SMD, 0603/1608M",2,Bottom,90
R50,RES-0603,"430 Ohm, 1 %, 0.1 W, Thick Film, 100 ppm/K, SMD, 0603/1608M",2,Bottom,0
R51,RES-0603,"182 kOhm, 0.5 %, Thick Film, 100 ppm/K, SMD, 0603/1608M",2,Bottom,90
R52,RES-0603,"20.5 kOhm, 0.5 %, Thick Film, 100 ppm/K, SMD, 0603/1608M",2,Bottom,90
R53,RES-0603,"4.7 kOhm, 1 %, 0.1 W, Thick Film, 100 ppm/K, SMD, 0603/1608M",2,Bottom,270
R54,RES-0603,"10 kOhm, 1 %, 0.1 W, Thick Film, 100 ppm/K, SMD, 0603/1608M",2,Bottom,90
R55,RES-0603,"4.7 kOhm, 1 %, 0.1 W, Thick Film, 100 ppm/K, SMD, 0603/1608M",2,Bottom,0
R56,RES-0603,"33 Ohm, 1 %, 0.1 W, Thick Film, 100 ppm/K, SMD, 0603/1608M",2,Bottom,270
R57,RES-0603,"33 Ohm, 1 %, 0.1 W, Thick Film, 100 ppm/K, SMD, 0603/1608M",2,Bottom,90
R58,RES-0603,"10 kOhm, 1 %, 0.1 W, Thick Film, 100 ppm/K, SMD, 0603/1608M",2,Bottom,180
R59,RES-0603,"5.1 kOhm, 1 %, 0.1 W, Thick Film, 100 ppm/K, SMD, 0603/1608M",2,Bottom,0
R6,RES-0603,"3.9 kOhm, 1 %, 0.1 W, Thick Film, 100 ppm/K, SMD, 0603/1608M",2,Bottom,270
R60,RES-0603,"10 kOhm, 1 %, 0.1 W, Thick Film, 100 ppm/K, SMD, 0603/1608M",2,Bottom,270
R61,1206,"0.22 Ohm, 1 %, Thick Film, 100 ppm/K, SMD, 1206",2,Bottom,0
R62,RES-0603,"10 kOhm, 1 %, 0.1 W, Thick Film, 100 ppm/K, SMD, 0603/1608M",2,Bottom,90
R63,RES-0603,"820 Ohm, 1 %, 0.1 W, Thick Film, 100 ppm/K, SMD, 0603/1608M",2,Bottom,270
