PartType	RefDes	PartDecal	Pins	Layer	Orient.	X	Y	SMD	Glued
DZ_SMD-SOD-123_400MW_5V1	C45	CAP-0603	2	Bottom	90	3030,315	1588,189	Yes	No
FIDUCAIL	C46	CAP-0603	2	Bottom	180	3581,496	1554,724	Yes	No
FIDUCAIL	C47	CAP-CC075	2	Bottom	180	401,575	1712,598	No	No
FIDUCAIL	C48	0805-CAP	2	Bottom	270	515	1297,24	Yes	No
ISO_SMD	C49	CAP-0603	2	Bottom	270	2213,386	2003,15	Yes	No
ISO_SMD	C50	CAP1000UP	2	Bottom	270	4291,339	1362,205	No	Yes
HEADER-3-2.5_UPRIGHT_LOCK	C51	CAP-0603	2	Bottom	0	3998,425	1057,48	Yes	No
J-HEAD-RA-SIL-10WAY	C52	CAP-0603	2	Bottom	180	4001,575	1301,575	Yes	No
LED-3MM-GREEN	C53	CAP-0603	2	Bottom	90	2231,89	2209,055	Yes	No
LED-3MM-RED	C54	CAP-0603	2	Bottom	0	3420,696	2972,362	Yes	No
LED-3MM-YELLOW	C55	CAP-0603	2	Bottom	270	2931,5	2886,18	Yes	No
LED-TLN119	C56	RND8XPPM3.5	2	Bottom	90	2585,394	1881,89	No	Yes
M-PAD	C57	CAP-TANT-CASE-B	2	Bottom	90	2217,78	2599,195	Yes	No
MTG-HOLE_6.5_NP	C58	CAP-0603	2	Bottom	90	2982	2353,94	Yes	No
M-L+G-PORT-8PIN	C59	CAP-0603	2	Bottom	270	3281,449	2283	Yes	No
M-PAD-STD	C60	1210	2	Bottom	90	2870	2353,609	Yes	No
M-PAD-STD	C61	CAP-0603	2	Bottom	90	2469,291	2778,74	Yes	No
M-PAD-STD	C62	CAP-0603	2	Bottom	0	3266,85	1894,882	Yes	No
M-PAD-STD	C63	CAP-0603	2	Bottom	0	2894,555	2189,628	Yes	No
MOV-10MM-400MW-460V-AC2.5KA	C64	CAP-0603	2	Bottom	180	3035,039	2190	Yes	No
MOV-50V-7MM-S07K50	C66	CAP-0603	2	Bottom	0	3070,079	2495,669	Yes	No
Q-SMD-NPN-BC817B	C68	CAP-0603	2	Bottom	270	2960,465	2548,509	Yes	No
Q-SMD-NPN-BC846B	C69	CAP-0603	2	Bottom	180	2833,858	2665,354	Yes	No
Q-SMD-PNP-BC807B	C70	CAP-0603	2	Bottom	0	2987	1895	Yes	No
Q-SMD-DAR-BCV27	C71	CAP-0603	2	Bottom	90	3368,504	2141	Yes	No
Q-SMD-NPN-BC846B	C72	CAP-0603	2	Bottom	90	3289,764	2141	Yes	No
Q-SMD-DAR-BCV27	C73	CAP-0603	2	Bottom	180	3212,039	2495,67	Yes	No
Q-IR-TPS616	C74	CAP-0603	2	Bottom	180	3177,559	2190	Yes	No
R-0603-1%-MF-330E	C75	CAP-0603	2	Bottom	270	3618	2220,079	Yes	No
R-0603-1%-MF-330E	C76	CAP-0603	2	Bottom	180	3751,887	2350,714	Yes	No
R-1W-5%-WW-4E7	C77	CAP-0603	2	Bottom	90	4099,479	2162,143	Yes	No
R-0603-1%-MF-2K7	C78	CAP-0603	2	Bottom	90	3909	2240	Yes	No
R-0603-1%-MF-68E	C79	CAP-0603	2	Bottom	270	3783,3	1665,3	Yes	No
R-1206-1%-MF-56E	C80	CAP-0603	2	Bottom	180	4078	1963	Yes	No
R-0603-1%-MF-5K6	C81	CAP-0603	2	Bottom	180	4077,25	2040	Yes	No
R-0603-1%-MF-1K2	C82	CAP-0603	2	Bottom	270	3862	1644,5	Yes	No
R-0603-1%-MF-1K0	C83	CAP-0603	2	Bottom	90	3989	2240	Yes	No
R-0603-1%-MF-680E	C84	CAP-0603	2	Bottom	180	4063,912	1788,168	Yes	No
R-0603-1%-MF-4K7	C85	CAP-0603	2	Bottom	270	3698,5	1661,9	Yes	No
R-0603-1%-MF-10K	C86	CAP-0603	2	Bottom	0	3516,2	1816	Yes	No
R-0603-1%-MF-5K6	C87	CAP-0603	2	Bottom	0	3520	1902	Yes	No
R1206-560K-100PM	C88	CAP-0603	2	Bottom	0	3563	1985	Yes	No
R-0603-1%-MF-1K8	C89	CAP-0603	2	Bottom	0	3578	2084,156	Yes	No
R-0603-1%-MF-2K7	C90	0805-CAP	2	Bottom	180	3919,511	2358,799	Yes	No
